"CODES","DESCRIPTION","YEAR","UNIT_1_CODES","UNIT_1_DESCRIPTION","UNIT_2_CODES","UNIT_2_DESCRIPTION",
03021100,"Fresh or chilled trout",2021,09,"Kilogram",?,"?",
03021300,"Fresh or chilled Pacific salmon",2021,09,"Kilogram",?,"?",
03021410,"Fresh or chilled Atlantic salmon",2021,09,"Kilogram",?,"?",
03021420,"Fresh or chilled Danube salmon",2021,09,"Kilogram",?,"?",
03021900,"Other fresh or chilled salmonidae",2021,09,"Kilogram",?,"?",
03022100,"Fresh or chilled halibut",2021,09,"Kilogram",?,"?",
03022200,"Fresh or chilled plaice",2021,09,"Kilogram",?,"?",
03022300,"Fresh or chilled sole",2021,09,"Kilogram",?,"?",
03022400,"Fresh or chilled turbots",2021,09,"Kilogram",?,"?",
03022900,"Other fresh or chilled flat fish",2021,09,"Kilogram",?,"?",
03023100,"Fresh or chilled albacore or longfinned tunas",2021,09,"Kilogram",?,"?",
03023200,"Fresh or chilled yellowfin tunas",2021,09,"Kilogram",?,"?",
03023300,"Fresh or chilled skipjack or stripe-bellied bonito",2021,09,"Kilogram",?,"?",
03023400,"Fresh or chilled bigeye tunas",2021,09,"Kilogram",?,"?",
03023510,"Fresh or chilled Atlantic bluefin tunas",2021,09,"Kilogram",?,"?",
03023520,"Fresh or chilled Pacific bluefin tunas",2021,09,"Kilogram",?,"?",
03023600,"Fresh or chilled bluefin tunas",2021,09,"Kilogram",?,"?",
03023900,"Fresh or chilled tunas, nes",2021,09,"Kilogram",?,"?",
03024100,"Fresh or chilled herrings",2021,09,"Kilogram",?,"?",
03024200,"Fresh or chilled anchovies",2021,09,"Kilogram",?,"?",
03024300,"Fresh or chilled sardines,sadinella, brisling or sprats",2021,09,"Kilogram",?,"?",
03024400,"Fresh or chilled mackerel",2021,09,"Kilogram",?,"?",
03024500,"Fresh or chilled jack and horse mackerel",2021,09,"Kilogram",?,"?",
03024600,"Fresh or chilled cobia",2021,09,"Kilogram",?,"?",
03024700,"Fresh or chilled swordfish",2021,09,"Kilogram",?,"?",
03024910,"Fresh or chilled siver pomfrets (Pampus spp.)",2021,09,"Kilogram",?,"?",
03024990,"Fresh or chilled indian mackerels, seerfishes, jacks, crevalles,Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish",2021,09,"Kilogram",?,"?",
03025100,"Fresh or chilled cod",2021,09,"Kilogram",?,"?",
03025200,"Fresh or chilled haddock",2021,09,"Kilogram",?,"?",
03025300,"Fresh or chilled coalsish",2021,09,"Kilogram",?,"?",
03025400,"Fresh or chilled hake",2021,09,"Kilogram",?,"?",
03025500,"Fresh or chilled Alaska pollack",2021,09,"Kilogram",?,"?",
03025600,"Fresh or chilled blue whitings",2021,09,"Kilogram",?,"?",
03025900,"Other fresh or chilled fish of the families Bregmacerotidae and Euclichthyidae etc.",2021,09,"Kilogram",?,"?",
03027100,"Fresh or chilled tilapias",2021,09,"Kilogram",?,"?",
03027200,"Fresh or chilled catfish",2021,09,"Kilogram",?,"?",
